,time_steps,rmse_extended_par,rmse_cubature_par,rmse_unscented_par,rmse_gh_par
0,1.0,0.10671647479034717,0.3485130321010111,0.06467738155604849,0.31766955164724825
1,2.0,0.041181213679304586,0.04069099792389022,0.038629120670627494,0.04112756246598658
2,4.0,0.020645135478503527,0.02057311092374073,0.02030035013233153,0.02068947098550262
3,8.0,0.01208352126963583,0.01208174546683227,0.012076497486138694,0.012084380435170735
4,16.0,0.005624997652432426,0.0056290903387694454,0.005630118488893234,0.005628851612294588
5,32.0,0.007097535723749758,0.007091984111723068,0.007088439066413349,0.007093485710254997
6,64.0,0.0044230362077253725,0.004421035602706655,0.004420820428508483,0.004421192849096242
7,128.0,0.00318589336753677,0.0031844822374877623,0.0031844981969528143,0.003184497454199794
8,256.0,0.01596515500380253,0.015965129687557398,0.01596515500600672,0.01596512352494747
9,512.0,0.0021174286126375416,0.0021212164296948634,0.002120908461315158,0.002121357057367888
10,1024.0,0.022381233105905143,0.022381227061392305,0.022381003188569785,0.022381224408593046
11,2048.0,0.016155968188920115,0.015822033659337608,0.01582203963683878,0.015822033573795687
12,4096.0,0.038159730431047464,0.022375228568526976,0.034804522852298084,0.022628497710308688
