,ell,ell_std_extended_par,ell_sqrt_extended_par,grad_ell_std_extended_par,grad_ell_sqrt_extended_par
0,0.02,-32.201296407339186,-32.201296407339555,4.586464940223611,4.586464940223603
1,0.02033195020746888,-35.90290190289787,-35.90290190289822,4.4823823541324765,4.482382354132457
2,0.020675105485232066,-39.51932777026133,-39.51932777026079,4.3777708478428625,4.377770847842904
3,0.021030042918454936,-43.050132206934336,-43.05013220693487,4.272605562744284,4.272605562744224
4,0.021397379912663755,-46.49485240400207,-46.494852417007664,4.166859865584595,4.166859863464174
5,0.021777777777777774,-49.85300303109071,-49.853003040615825,4.060505182951929,4.060505181284012
6,0.022171945701357467,-53.12407457859823,-53.124074585216,3.9535108166356094,3.9535108153860192
7,0.022580645161290325,-56.3075315404885,-56.30753154473272,3.845843737238314,3.8458437363707882
8,0.023004694835680753,-59.40281041873543,-59.40281061734263,3.737468352985602,3.737468337260743
9,0.023444976076555022,-62.40931752770709,-62.40931768184936,3.628346250198207,3.6283462374539353
10,0.023902439024390244,-65.32642657375268,-65.32642668781597,3.518435901305922,3.518435891476529
11,0.024378109452736316,-68.15347598158533,-68.15347605267759,3.4076923356018165,3.4076923112624073
12,0.02487309644670051,-70.8897659347973,-70.88976596359898,3.2960667671272774,3.29606674872117
13,0.025388601036269432,-73.53455509291773,-73.53455508797876,3.1835061731143375,3.1835061604198787
14,0.02592592592592593,-76.0870569415737,-76.08705691112253,3.0699528152729862,3.0699528080414615
15,0.026486486486486487,-78.54643572550977,-78.54643460551407,2.9553436948456873,2.955343716599317
16,0.02707182320441989,-80.91180190613566,-80.91180098844279,2.8396099307279976,2.839609953193142
17,0.02768361581920904,-83.18220707578806,-83.18220539669927,2.7226760480040832,2.72267609216818
18,0.028323699421965318,-85.3566382496349,-85.35663694591102,2.6044591619074313,2.6044592034298253
19,0.028994082840236683,-87.43401144278502,-87.43401051212899,2.4848680394047205,2.4848680772341694
20,0.029696969696969694,-89.41316442432233,-89.41316376583652,2.3638020171997525,2.3638020416492105
21,0.03043478260869565,-91.29284852101506,-91.29284827050279,2.2411497508455827,2.241149766338638
22,0.031210191082802544,-93.07171932083872,-93.07171984139703,2.116787764653646,2.1167877580702483
23,0.03202614379084968,-94.7483260993043,-94.74832680648072,1.9905787659958527,1.9905787423778034
24,0.032885906040268455,-96.32109975889824,-96.32110165906747,1.8623696801386809,1.862369620439645
25,0.03379310344827586,-97.78833903256088,-97.78834257010544,1.7319893525642567,1.7319892329837512
26,0.03475177304964539,-99.1481946543192,-99.1481981883309,1.5992458543851387,1.5992457381939964
27,0.03576642335766423,-100.39865114210562,-100.39865409202092,1.463923312325876,1.463923207588202
28,0.0368421052631579,-101.53750576670885,-101.53750934239969,1.3257781670440165,1.3257780291753496
29,0.03798449612403101,-102.56234419351375,-102.5623460852176,1.1845347412050478,1.1845346632368035
30,0.0392,-103.47051217571732,-103.47051316976099,1.0398799702601442,1.0398799226193618
31,0.04049586776859505,-104.25908254338081,-104.25908249854888,0.8914571122779378,0.8914571193433467
32,0.041880341880341884,-104.92481656421438,-104.92481593857534,0.7388582056614204,0.7388582215170385
33,0.04336283185840708,-105.46411853900092,-105.4641183120517,0.5816149811982464,0.5816149835013102
34,0.04495412844036697,-105.87298222275103,-105.87298084868145,0.4191878520645158,0.419187929207502
35,0.04666666666666666,-106.14692731228291,-106.14692528956427,0.25095249411829057,0.2509526099096909
36,0.048514851485148516,-106.28092378427995,-106.28092249449443,0.07618337747001007,0.07618345726563466
37,0.050515463917525774,-106.26930126578017,-106.26930053645205,-0.1059665980926409,-0.10596654937490672
38,0.05268817204301075,-106.10563981533647,-106.10563709252204,-0.2964915018985232,-0.2964913210223084
39,0.055056179775280906,-105.78263740624243,-105.78263740624243,-0.49656435413236727,-0.49656433799165545
40,0.05764705882352941,-105.2919479135206,-105.29194791352052,-0.7075778273417739,-0.7075778283249221
41,0.06049382716049383,-104.62398133540108,-104.623981335401,-0.9311966587939564,-0.9311966621102317
42,0.06363636363636363,-103.76765505794677,-103.76765509535602,-1.1694260246608645,-1.1694260196633346
43,0.06712328767123288,-102.7100807832181,-102.71008080756816,-1.4247020160924135,-1.4247020338718244
44,0.07101449275362319,-101.43616563637748,-101.43616623303498,-1.700013241611347,-1.7000133162221127
45,0.07538461538461538,-99.92809690428277,-99.92809604026262,-1.9990670739864285,-1.9990669462222785
46,0.08032786885245902,-98.16466613191527,-98.16466576118363,-2.3265212202057426,-2.3265211018467715
47,0.08596491228070176,-96.12036704577676,-96.12036828933404,-2.6883129950843996,-2.688313086431516
48,0.09245283018867925,-93.76416802067368,-93.7641687646645,-3.0921383558840443,-3.092138411296162
49,0.1,-91.05780467669388,-91.05780507032827,-3.5481669287095747,-3.5481669595845795
